"","level","start","end"
"573",2,35801885,35804687
"574",2,35828703,35837935
"575",2,35975668,35976853
"576",3,35975668,35976853
"577",2,36063896,36073202
"578",2,36114480,36121320
"579",2,36150389,36159232
"580",3,36150389,36150927
"581",2,36424917,36426139
"582",2,36493188,36498685
"583",2,36575816,36621628
"584",2,36708631,36717353
"585",2,36938505,36948683
"586",2,37014399,37027490
"587",2,37249590,37249985
"588",2,37330866,37344150
"589",2,37448330,37449241
"590",3,37448330,37449241
"591",2,37554317,37563799
"592",2,37660858,37669881
"593",2,37720929,37721345
"594",2,37795953,37804982
"595",2,37879162,37879821
"596",3,37879162,37879821
"597",2,38036748,38038239
"598",2,38203468,38214672
"599",2,38289898,38317475
"600",2,38555454,38563669
"601",3,38562804,38563669
"602",2,38708518,38721733
"603",2,38871076,38886254
"604",3,38871076,38871712
"605",4,38871076,38871498
"606",2,39011957,39023245
"607",2,39106115,39132509
"608",3,39106115,39107143
"609",2,39247914,39253982
"610",2,39340990,39353444
"611",3,39348294,39349195
"612",2,39497938,39514153
"613",2,39702643,39705323
"614",3,39702643,39703357
"615",2,40009834,40024738
"616",2,40088619,40092045
"617",3,40088619,40092045
"618",2,40110012,40120966
"619",3,40119925,40120966
"620",2,40199820,40200937
"621",2,40213298,40214183
"622",3,40213298,40214183
"623",2,40269174,40282911
"624",2,40531378,40531842
"625",2,40561200,40577085
"626",2,40621475,40622069
"627",2,40709128,40710316
"628",3,40709128,40710316
"629",2,40741332,40742140
"630",3,40741332,40742140
"631",2,40780745,40781439
"632",3,40780745,40781439
"633",2,40994931,41016651
"634",3,41016292,41016651
"635",4,41016292,41016651
"636",2,41521886,41523295
"637",2,41637262,41647622
"638",3,41647157,41647622
"639",2,41829142,41829692
"640",3,41829142,41829692
"641",2,41844841,41845791
"642",2,41877946,41878538
"643",3,41877946,41878538
"644",2,42049730,42050215
"645",2,42463380,42463771
"646",2,42504106,42510944
"647",2,42550894,42551374
"648",2,42592884,42593212
"649",2,42719623,42720253
"650",2,43247152,43247577
"651",3,43247152,43247577
"652",2,43472072,43474857
"653",3,43472072,43472281
"654",2,43823263,43824450
"655",2,43836783,43840229
"656",3,43836783,43837164
"657",2,44030539,44031283
"658",3,44030539,44031283
"659",2,44316376,44328215
"660",2,44754128,44754635
"661",2,44826840,44830064
"662",2,44950884,44951606
"663",2,45021843,45044949
"664",2,45228581,45240783
"665",2,45987613,45988142
"666",3,45987613,45988142
"667",2,46317962,46318670
"668",2,46527040,46530920
"669",3,46527040,46528003
"670",2,46904513,46907921
"671",3,46904513,46907921
"672",2,47006720,47017604
"673",2,47524047,47525035
"674",2,48508366,48510983
"675",2,48637380,48648596
"676",2,48676280,48678643
"677",2,48755224,48755666
"678",2,48772350,48780966
"679",3,48780358,48780966
"680",2,48799875,48801377
"681",2,48814910,48820338
"682",2,49059789,49090635
"683",2,49110242,49110905
"684",2,49265883,49274606
"685",2,49391227,49413707
"686",3,49409284,49409576
"687",2,49465482,49476642
"688",2,49663171,49668445
"689",2,50012589,50012975
"690",2,50251713,50252748
"691",3,50251713,50252748
"692",2,50605940,50631479
"693",3,50606952,50607227
"694",3,50611477,50611783
"695",3,50625947,50627058
"696",2,50987602,51020343
"697",2,51093408,51114059
"698",3,51093408,51093700
"699",2,51348436,51348973
"700",2,51604846,51611628
"701",2,51960421,51960792
"702",2,52536597,52548542
"703",3,52536597,52536903
"704",3,52548041,52548542
"705",2,52735394,52735817
"706",2,52753144,52758048
"707",2,52918891,52924091
"708",2,52961860,52984229
"709",3,52961860,52962500
"710",2,53119002,53119351
"711",2,53172181,53173429
"712",3,53172181,53173429
"713",2,53274221,53274576
"714",3,53274221,53274576
"715",2,53294229,53294734
"716",3,53294229,53294734
"717",2,53643153,53645076
"718",3,53643153,53645076
"719",2,53886282,53887397
"720",3,53886282,53887397
"721",2,53952674,53964317
"722",3,53952674,53953758
"723",3,53963734,53964317
"724",2,54180573,54195970
"725",3,54180573,54181073
"726",2,54237563,54237845
"727",3,54237563,54237845
"728",2,54261925,54266491
"729",2,54530531,54533877
"730",3,54530531,54531055
"731",3,54533666,54533877
"732",2,54886070,54886409
"733",2,54927410,54927802
"734",2,55093287,55094030
"735",3,55093287,55094030
"736",2,55148581,55149119
"737",3,55148581,55149119
"738",2,55729744,55730044
"739",3,55729744,55730044
"740",2,55759406,55760266
"741",3,55759406,55760266
"742",2,55832869,55833201
"743",2,56084255,56088749
"744",3,56088466,56088749
"745",2,56194901,56196352
"746",2,56231665,56232172
"747",3,56231665,56232172
"748",2,56340834,56341198
"749",2,56505998,56506396
"750",2,56976781,56981280
"751",3,56976781,56977541
"752",2,57043859,57047033
"753",3,57043859,57044059
"754",2,57198381,57198855
"755",3,57198381,57198855
"756",2,57256207,57262400
"757",3,57262129,57262400
"758",2,57362507,57370553
"759",3,57362507,57363051
"760",2,57429463,57429842
"761",2,57507752,57508690
"762",3,57507752,57508690
"763",2,57802383,57802787
"764",2,58094154,58097672
"765",2,58228501,58229914
"766",2,58535134,58535470
"767",2,58565696,58566418
"768",3,58565696,58566418
"769",2,58635234,58636506
"770",2,58673393,58679200
"771",3,58673393,58673665
"772",2,58746363,58747136
"773",2,58958839,58962405
"774",2,58978523,58978902
"775",2,59206490,59211046
"776",3,59206490,59211046
"777",2,59619266,59620253
"778",3,59619266,59620253
"779",2,59836244,59842192
"780",3,59841465,59842192
"781",2,60671249,60671807
"782",2,60713169,60714723
"783",2,61141243,61151590
"784",3,61141243,61141795
"785",2,61350198,61350624
"786",2,61390967,61391691
"787",2,61404134,61418140
"788",2,61753289,61753876
"789",2,61813251,61819001
"790",2,61872240,61884853
"791",2,62011459,62035733
"792",2,62218977,62222519
"793",2,62414848,62419387
"794",2,62807068,62807424
"795",2,63430741,63431558
"796",2,63544575,63558390
"797",3,63550811,63551901
"798",2,63651790,63656035
"799",2,63707057,63717016
"800",2,63778622,63781745
"801",2,63913119,63913538
"802",2,64267437,64320328
"803",3,64274171,64275510
"804",3,64281843,64282793
"805",3,64287501,64288668
"806",2,64510182,64510631
"807",2,64525115,64525862
"808",2,64606111,64614102
"809",2,64818270,64831011
"810",2,65204893,65205225
"811",2,65535270,65539702
"812",2,65680253,65680670
"813",2,65758705,65759176
"814",2,65935133,65936522
"815",2,66099268,66106069
"816",2,66457440,66457847
"817",2,66680928,66681963
"818",2,66726833,66727242
"819",2,66764248,66765443
"820",3,66764248,66765443
"821",2,67134225,67134689
"822",2,67276456,67281016
"823",3,67276456,67277183
"824",2,68428816,68429653
"825",2,69059736,69060077
"826",3,69059736,69060077
"827",2,69358938,69359352
"828",3,69358938,69359352
"829",4,69358938,69359352
"830",2,69384502,69385059
"831",2,69696917,69697174
"832",3,69696917,69697174
"833",2,69964101,69964509
"834",2,70350089,70355845
"835",3,70350089,70351147
"836",3,70355541,70355845
"837",2,70460834,70467712
"838",2,71008369,71009072
"839",3,71008369,71009072
"840",2,71471906,71472215
"841",3,71471906,71472215
"842",2,71614372,71614913
"843",3,71614372,71614913
"844",2,71902654,71902961
"845",3,71902654,71902961
"846",2,72029525,72029962
"847",2,72477647,72478143
